title,year,venue,doi,url,abstract,paper_id,predicted_type,confidence,unknown_reason,matched_rules
DebtHunter: A Machine Learning-based Approach for Detecting Self-Admitted Technical Debt.,2021,EASE,10.1145/3463274.3464455,https://dblp.org/rec/conf/ease/SalaTF21,"Due to limited time, budget or resources, a team is prone to introduce code that does not follow the best software development practices. This code that introduces instability in the software projects is known as Technical Debt (TD). Often, TD intentionally manifests in source code, which is known as Self-Admitted Technical Debt (SATD). This paper presents DebtHunter, a natural language processing (NLP)- and machine learning (ML)- based approach for identifying and classifying SATD in source code comments. The proposed classification approach combines two classification phases for differentiating between the multiple debt types. Evaluations over 10 open source systems, containing more than 259k comments, showed that the approach was able to improve the performance of others in the literature. The presented approach is supported by a tool that can help developers to effectively manage SATD. The tool complements the analysis over Java source code by allowing developers to also examine the associated issue tracker. DebtHunter can be used in a continuous evolution environment to monitor the development process and make developers aware of how and where SATD is introduced, thus helping them to manage and resolve it.",e913dd7bf614daff35a6407f7a8e4f5bd9d814fd,Tool Paper,1.0,,\b(?:a |the |our )?tool (?:for|to|that|which|supports?|called)\b
How do Technical Debt Payment Practices Relate to the Effects of the Presence of Debt Items in Software Projects?,2021,SANER,10.1109/SANER50967.2021.00074,https://dblp.org/rec/conf/wcre/FreireRPTMISS21,"Context: Knowing the effects of technical debt (TD) can support software development teams in the prioritization of TD items to pay off. However, little is known about the relations between the effects of TD and TD payment practices. Having this knowledge can provide valuable information for decision making about which payment practice can be applied given the presence of specific effects of TD. Aims: To investigate, from the point of view of software practitioners, (i) which TD payment practices have been used when certain effects of the presence of debt are felt in software projects and (ii) the reasons for not paying debt items despite the effects they are causing to the project. Method: We analyze quantitatively and qualitatively data collected from a survey with 432 practitioners across four countries. Results: Among the identified relations, the practice ""code refactoring"" is commonly used to pay debt items off when the effects ""delivery delay"" and ""rework"" are felt in software projects. On the other hand, when practitioners face the TD effects ""low external quality"" and ""delivery delay"", ，they commonly justify the non- payment of the debt items indicating the need of ""focusing on short term goals"". Conclusion: We organize the relationship between TD effects, and payment practices and reasons for not eliminating debt items. All this information is structured in an alluvial diagram, which can facilitate the visualization of the identified relations.",43c1ab325c53da9ad4422127f896340f450f4e9b,Survey,1.0,,\bfrom the (?:point of view|perspective) of (?:software )?practitioners\b
Surveying Software Practitioners on Technical Debt Payment Practices and Reasons for not Paying off Debt Items.,2020,EASE,10.1145/3383219.3383241,https://dblp.org/rec/conf/ease/FreireRGTMISS20,"Background: Little is known about the practices used for technical debt (TD) payment. The study of payment practices, as well as the reasons for not applying them, can help practitioners to control and manage TD items. Aims: To investigate, from the point of view of software practitioners, if TD items have been paid off in software projects, the practices that have been used to pay off TD and the reasons that hamper the implementation of these practices. Method: We analyzed - both quantitatively and qualitatively - a corpus of responses from a survey of 432 practitioners, from four countries, about the possibility of TD payment. Results: We found that, for most of the cases, TD items have not been eliminated from software projects. The main reasons for not paying off TD are lack of organizational interest, low priority on the debt, focus on short-term goals, cost, and lack of time. On the other hand, we identified that code refactoring, design refactoring, and update system documentation are the most used practices for TD payment. Practitioners also cited practices related to the prevention, prioritization, and creation of a favorable setting as part of TD payment initiatives. Conclusion: This paper summarizes the identified practices and reasons for not paying off debt items in a map. Our map reveals that the majority of payment practices are of a technical nature while the majority of reasons for not paying off debts are associated with non-technical issues.",80d375f0c9ce40b053968e0f4c33df593ef3c867,Survey,1.0,,\bfrom the (?:point of view|perspective) of (?:software )?practitioners\b
The Danger of Architectural Technical Debt: Contagious Debt and Vicious Circles.,2015,WICSA,10.1109/WICSA.2015.31,https://dblp.org/rec/conf/wicsa/MartiniB15,"A known problem in large software companies is to balance the prioritization of short-term with long-term viability. Specifically, architecture violations (Architecture Technical Debt) taken to deliver fast might hinder future feature development. However, some technical debt requires more interest to be paid than other. We have investigated which Technical Debt items generate more effort and how this effort is manifested during software development. We conducted a multiple-case embedded case study comprehending 7 sites at 5 large international software companies. We found that some Technical Debt items are contagious, causing other parts of the system to be contaminated with the same problem, which may lead to non-linear growth of interest. We also identify another socio-technical phenomenon, for which a combination of weak awareness of debt, time pressure and refactoring creates Vicious Circles of events during the development. Such phenomena need to be identified and stopped before the development is led to a crisis point. Finally, this paper presents a taxonomy of the most dangerous items identified during the qualitative investigation and a model of their effects that can be used for prioritization, for further investigation and as a quality model for extracting more precise and context-specific metrics.",04e9249e15c26cdc03e7d12f0d826f4292645130,Case Study,1.0,,\bcase study\b; \bembedded case study\b
Automated Detection of Self-Admitted Technical Debt: A Systematic Literature Review.,2026,IEEE Access,10.1109/ACCESS.2026.3661069,https://dblp.org/rec/journals/access/AbdulazizSA26,"In modern software development, developers frequently introduce comments that describe temporary solutions, incomplete implementations, or deferred improvements. These comments, commonly referred to as Self-Admitted Technical Debt (SATD), may provide short-term flexibility but can accumulate into long-term maintenance challenges and quality degradation. This paper presents a systematic literature review of automated SATD detection research published between 2015 and 2025. Following established systematic review guidelines, we analyzed 46 primary studies selected from an initial pool of 1,537 publications. The review provides a structured synthesis of the field by: 1) identifying and categorizing the main SATD detection objectives; 2) analyzing representation techniques for textual, structural, and hybrid inputs; 3) comparing learning approaches ranging from traditional machine learning to transformer-based and large language models; and 4) summarizing evaluation practices and performance trends. Our findings reveal a clear methodological evolution from keyword-based and feature-engineered models toward context-aware and multi-modal architectures. While transformer-based approaches such as BERT and CodeBERT demonstrate strong potential, their adoption is constrained by limited benchmark datasets, inconsistent evaluation protocols, and a lack of explainability. To address these challenges, the review highlights key research gaps and outlines future directions, including standardized benchmarks, explainable SATD detection, and cross-project generalization. Overall, this study consolidates a decade of SATD research into a unified perspective and provides actionable guidance for developing more robust, interpretable, and scalable SATD detection techniques to support sustainable software maintenance.",4e4fd4b2de610ab361ca493d33c129b5303626d1,Systematic Literature Review,1.0,,\bliterature review\b; \bsystematic literature review\b; \bsystematic review\b
Global Trends and Empirical Metrics in the Evaluation of Code Smells and Technical Debt: A Bibliometric Study.,2025,IEEE Access,10.1109/ACCESS.2025.3594657,https://dblp.org/rec/journals/access/ArrietaMHC25,"Software quality and long-term maintainability represent fundamental challenges in modern software engineering. Among the critical factors that affect these attributes are code smells, indicators of structural deficiencies in the source code, which, although they do not directly affect functionality, significantly increase technical debt and maintenance costs. This study presents a comprehensive bibliometric analysis of the scientific literature published between 2020 and 2024, with the objective of identifying the main trends, authors, sources, metrics and mitigation techniques associated with code smells and their relationship with technical debt. Seventy-eight articles extracted from the Scopus and Web of Science databases were analyzed using Bibliometrix (R), Biblioshiny and VOSviewer tools, applying productivity indicators, co-authorship networks, term co-occurrence analysis and thematic evolution. The results reveal a growing annual scientific production $(+35.79\%)$ , a concentration of publications in Q1 journals such as Journal of Systems and Software and IEEE Transactions on Software Engineering, and a strong presence of key authors such as Fabio Palomba and Tomas Cerny. The most prominent topics include the application of artificial intelligence techniques for automated detection of code smells, the use of empirical metrics such as cyclomatic complexity and data dependencies, and the implementation of strategies such as automated refactoring and peer review for mitigation. In addition, research gaps were identified in the evaluation of emerging code smells in modern architectures such as microservices or scientific software. This study not only consolidates existing knowledge, but also proposes new lines of research aimed at improving software sustainability through the use of predictive models and hybrid techniques. The bibliometric evidence obtained provides a solid framework for researchers and practitioners interested in optimizing code quality and proactively managing technical debt.",914e0d4647336b1538c742dc060b2f87a5f4b173,Unknown,0.0,no_match,
Predicting Vulnerable Code Changes Using Technical Debt Indicators.,2025,IEEE Access,10.1109/ACCESS.2025.3602480,https://dblp.org/rec/journals/access/HalepmollasiT25,"Technical debt refers to the cost of delayed technical work and poor design choices in software systems. Software security focuses on protecting systems against vulnerabilities and exploits. In this study, we explore the relationship between technical debt and software vulnerabilities to understand how technical debt impacts software security. We collected real world data from six software projects, including code changes and corresponding vulnerabilities. We investigate various technical debt indicators, such as code smells, bugs, and software metrics, along with technical debt mitigation methods like refactoring activities, to predict vulnerabilities. The findings reveal a significant association between technical debt and vulnerabilities, highlighting the impact of technical debt on software security. We also identify specific artifacts, such as code smells, that contribute to the emergence of vulnerabilities. By understanding this relationship, software practitioners and project managers can gain insights into the risks associated with accumulated technical debt and take appropriate measures to enhance software security and quality.",b92d0ebc6257e579591f7fadc7f5ac1c3fbd4716,Unknown,0.0,no_match,
Estimating Technical Debt Through Changes Related to Code Smells in the Evolution of Software Projects.,2025,IEEE Access,10.1109/ACCESS.2025.3581401,https://dblp.org/rec/journals/access/WiriyakulS25,"Technical debt and code smells are related concepts used to describe the trade-offs and consequences of suboptimal coding practices. Leaving code smells in the code means that developers choose a quick solution instead of the optimal code, and this can be a sign of technical debt or the implied cost of additional work during maintenance. Technical debt measurement must be applied to better manage code smells during the evolution of a software project. However, existing approaches to measuring the principal, i.e., the effort required to refactor the suboptimal code to pay off the debt, are limited, such that the effort measurement is coarse-grained or insensitive to the characteristics of code smell instances and their changes over time. Moreover, none of the existing approaches measure the interest, i.e., the extra effort developers spend understanding or working around code smells during maintenance. This research presents a method to estimate technical debt in terms of the effort to pay off the principal and the effort that has been paid for the interest. The method comprises a set of fine-grained metrics for measuring the sizes of change activities that are related to code smells in each version of the software project history. The sizes of change activities are then applied to a maintenance effort estimation model to determine the principal and interest. An experiment compared the application of two maintenance effort estimation models, COCOMO II and Change Acceptance Analysis (CAA), to the proposed method and suggested COCOMO II for technical debt estimation.",77ff58544ea3bd7ab1ebef48bc3749025be5ab8a,Tool Paper,1.0,,"\b(?:novel|new|automated|automatic|proposed|a)\s+(?:approach|method|technique|framework|model|classifier|pipeline)\b.{0,45}\b(?:detect|identif|classif|predict|estimat|measur|forecast|recommend|remediat)"
"A Systematic Literature Review on Technical Debt in Software Development: Types, Tools, and Concerns.",2025,Int. J. Comb. Optim. Probl. Informatics,,https://dblp.org/rec/journals/ijcopi/TerronMaciasMT25,"Software projects often accumulate technical debt, which undermines code quality, maintainability, and long-term viability. This article analyses twelve categories of technical debt and examines the capabilities of existing mitigation tools. To achieve this, we conducted a systematic literature review. Based on the results, we categorise and describe each debt type as it occurs in practice, and we assess prominent tools (such as AnaConDebt, CAST, DebtFlag, Visminer TD, and TD-Tracker) with respect to the debt types they target, the programming languages they support, and their adherence to established software quality models or methodologies. Our analysis shows that most current solutions focus on code and architectural debt, whereas documentation and process debt remain largely unaddressed. Moreover, most tools do not conform to software quality models or standards, which none of them explicitly incorporate.",0e1d662dcf9fb3ee84ba8b347f40d7857e188b6a,Systematic Literature Review,1.0,,\bliterature review\b; \bsystematic literature review\b
Technical Debt of Software Projects Based on Merge Code Comments.,2025,J. Softw. Eng. Res. Dev.,10.5753/JSERD.2025.4801,https://dblp.org/rec/journals/jserd/AraujoCF25,"Developers use code comments for various reasons, such as explaining code, documenting specifications, communicating with other developers, and highlighting upcoming tasks. Software projects with minimal documentation often have a significant number of comments. In this sense, the code comment analysis technique can be used to examine more complex aspects of software projects, such as TD generated by merge conflicts. The TD resulting from the resolution of merge conflicts occurs when the resulting code contains comments that indicate tasks to be performed in the future. There are no studies directly linking merge conflicts and TD. The purpose of this study is to identify and analyze code comments generated when resolving merge conflicts from this perspective. This process can lead to improvements in software quality and help in managing TD. To this end, an exploratory analysis was carried out in 100 software projects, with a specific focus on task annotations originating from the resolution of merge conflicts. The results revealed that 60.61% of the analyzed projects have at least one code comment indicating the creation or maintenance of TD. In addition, metrics such as accuracy, precision, recall, and F1-score were applied across different software projects to enhance the effectiveness and reliability of the built data model. The metric results suggest that the tool was able to correctly classify in most cases, but was not particularly precise in this classification due to the size of the analyzed projects and the variety of task annotations, including the presence of some and the absence of others.",5274bb17474d77693cb6751e2355365bd87d53f3,Unknown,0.0,no_match,
Technical Debt in Pull Requests: Insights from Apache Projects.,2025,J. Softw. Eng. Res. Dev.,10.5753/JSERD.2025.5722,https://dblp.org/rec/journals/jserd/CalixtoAA25,"Technical Debt (TD) represents the effort required to address quality issues that affect a software system and progressively hinder code evolution over time. A pull request (PR) is a discrete unit of work that must meet specific quality standards to be integrated into the main codebase. PRs offer a valuable opportunity to assess how developers handle TD and how codebase quality evolves. In this work, we conducted two empirical analyses to understand how developers address TD within PRs and whether TD is effectively managed during PR reviews by both developers and reviewers. We examined 12 Java projects from Apache. The first study employed the SonarQube tool on 2,035 merged PRs to evaluate TD variation, identify the most frequently neglected and resolved types of TD issues, and analyze how TD evolves over time. The second study involved a qualitative analysis of review threads of 250 PRs, focusing on the types of PRs that frequently discuss TD, the characteristics of TD fix suggestions, and the reasons some suggestions are rejected. Our findings reveal that TD issues are prevalent in PRs, following a ratio of 1:2:1 (reduced: unchanged: increased). Among all TD issues, those related to code duplication and cognitive complexity are most frequently overlooked, while code duplication and obsolete code are the most commonly resolved. Regarding PR code review, we found that around 76% of review threads address TD, with code, design, and documentation being the most frequently discussed areas. Additionally, 96% of discussions include a fix suggestion, and over 80% of the discussed issues are resolved. These insights can help practitioners become more aware of TD management and may inspire the development of new tools to facilitate TD handling during PRs.",ca3c33d15b03cf2c8829ab0bb098920a50176bf7,Unknown,0.0,no_match,
Predicting software developer sentiment on self-admitted technical debt.,2025,PeerJ Comput. Sci.,10.7717/PEERJ-CS.3227,https://dblp.org/rec/journals/peerj-cs/ZhangYSHWYZ25,"Technical debt is a metaphor for sacrificing long-term code quality in order to achieve short-term project goals. The technical debt that developers intentionally introduce into project is called self-admitted technical debt (SATD), which usually exists in the form of code comments in software projects. The existence of SATD poses a huge challenge to software quality and robustness. Analyzing the sentiments of SATD helps to understand the behavioral habits of developers when annotating SATD. In order to explore the performance of generative pre-trained models in SATD sentiment prediction, a SATD sentiment prediction method based on the GPT-3.5-turbo fine-tuning model is proposed, and research is carried out on 18 open source projects. Empirical results show that, compared with a set of traditional machine learning and deep learning techniques, the fine-tuning GPT-3.5-turbo model improves the evaluation indicators precision, recall and F1-score by 14.2%, 11.5%, and 17.3%, respectively. The effectiveness of the SATD sentiment prediction method based on GPT-3.5-turbo is verified, indicating the potential of generative pre-trained models to capture nuanced complex sentiment—i.e., developer comments that combine neutral technical observations with subtle negative cues such as hesitation or frustration. However, our comparison does not include recent large language model (LLM)-based approaches, which are reserved for future investigation.",f8a52e7a81c5c3a13ea06b1b3a9c3ce91f7a390e,Empirical Study,1.0,,\b\d+ (?:open[- ]source |open )?projects?\b
Understanding and Identifying Technical Debt in the Co-Evolution of Production and Test Code.,2025,IEEE Trans. Software Eng.,10.1109/TSE.2025.3553112,https://dblp.org/rec/journals/tse/GuoCXCLZ25,"The co-evolution of production and test code (PT co-evolution) has received increasing attention in recent years. However, we found that existing work did not comprehensively study various PT co-evolution scenarios, such as the qualification and persistence of their effects on software. Inspired by technical debt (TD), we refer to TD generated during the co-evolution between production and test code as PT co-evolution technical debt (PTCoTD). To better understand PT co-evolution, we first conducted an exploratory study on its characteristics on 15 open-source projects, finding unbalanced PT co-evolution prevalent and summarizing five potential PT flaws. Then we proposed an approach to identify and quantify PTCoTDs of these flaw patterns, considering evolutionary and structural relationships. We also built prediction models to describe cost trajectories and rank all PTCoTDs to prioritize expensive ones. The evaluation on the 15 projects shows that our approach can identify PTCoTDs that deserve attention. The identified PTCoTDs account for about half of the project's total maintenance costs, and the cost proportion of the expensive Top-5 is 1.8x more than the file proportion they contain. Almost all covered maintenance costs persist as PTCoTD in the future, with an average increase of 6.8% between the last two releases. Our approach also accurately predicts the costs of PTCoTD with an average prediction deviation of only 8.3%. Our study provides valuable insights into PT co-evolution scenarios and their effects, which can guide practices and inspire future work on software testing and maintenance.",6013f32135bf2788e4d66294123e9afa141deaf8,Empirical Study,1.0,,\bexploratory study\b; \b\d+ (?:open[- ]source |open )?projects?\b
